"id","budget","genres","homePage","productionCompany","productionCompanyCountry","productionCountry","revenue","runtime","video","director","actors","actorsPopularity","actorsCharacter","originalTitle","title","originalLanguage","popularity","releaseDate","voteAvg","voteCount","genresAmount","productionCoAmount","productionCountriesAmount","actorsAmount","castWomenAmount","castMenAmount","releaseYear"
1627085,0,"Drama|Crime","","","","",0,95,FALSE,"Javad Hakami","Mohsen Ghasabian|Aida Mahiani|Mehran Ghafourian|Payam Ahmadinia|Masoud Karamati|Roya Javidnia|Nasim Adabi|Siavash Cheraghipour","0.3453|0.1664|0.9684|0.3437|0.3713|0.2437|0.2796|0.2639","|||||||","غوطه ور","Immersed","fa",0.0357,2026-02-01,0,0,2,0,0,8,2,5,2026
1626914,0,"Animation","","","","",0,3,FALSE,"Kimmy Gatewood","Kameron Jackson|Laura Weaving|sara weaving|Bertha Williams","0|0.0071|0|0","Prince Charming|Evil Stepmother|Fairy Godmother|Cinderella","Cinderella","Cinderella","en",0.0357,2026-02-01,0,0,1,0,0,4,0,0,2026
1626898,0,"Animation","","","","",0,2,FALSE,"Kimmy Gatewood","Cedric Mitchell|Cajun mills|Laura Williams","0.0193|0|0.0143","Aladdin|Jafar|Jasmine","Aladdin","Aladdin","en",0.0214,2026-02-01,0,0,1,0,0,3,0,0,2026
1626808,0,"Thriller|Mystery|Documentary","","","","",0,5,FALSE,"Felipe Roldán","Tomás Tuchsznajder|Matias Junas|Martin Etcheverry|Romeo Jeirfimczuk|Agustin Pulido|Alec Drach|Franco Serio","0|0|0|0|0|0|0","||||||","EL ANILLO Y EL DECK","THE RING AND THE DECK","es",0.0429,2026-02-01,0,0,3,0,0,7,0,0,2026
1626678,0,"Animation","","","","",0,12,FALSE,"Kimmy Gatewood","Cedric Mitchell|Tara Carpenter|Alissa Carter","0.0193|0.0071|0","Caleb|Sarah|Commander Vex","Crimson High 3","Crimson High 3","en",0.0379,2026-02-01,0,0,1,0,0,3,0,0,2026
1626234,1,"Comedy","","","","",1,14,FALSE,"Jonathan Tan Jia Sheng","Sinjon Caelix Paguio Suresh|Hoe Wen Yen|Jonathan Tan Jia Sheng","0|0|0","Rasparagus Asparagus Baragus|Rubber Bin/Snashi Snooty/400 Portra Gold|Keratin Karen (voice)","Conversations with Rasparagus Asparagus Baragus","Conversations with Rasparagus Asparagus Baragus","en",0.0286,2026-02-01,0,0,1,0,0,3,0,0,2026
1626010,0,"Comedy","","","","",0,39,FALSE,"","Tom Mayo|Sam Russell|Luke Manning|Max Fosh|Alexander Jeremy","0|0|0.3101|0.0453|1.1239","Self / Christopher|Self / Ryan / Holiday Inn Guest|Self / Hitchhiking Girl / Mrs Christopherson|Self / Congolese Spy / Jaknet / Dimitrovna / Old Man|Self / Dimitri John / Principal Skeemer","Highway To Hell","Highway To Hell","en",0.0596,2026-02-01,0,0,1,0,0,5,0,3,2026
1625551,0,"Drama","","","","IR",0,90,FALSE,"Alireza Motamedi","Alireza Motamedi|Soha Niasti|Marziyeh Boroumand|Sahra Asadollahi","0.1662|0.3104|0.2124|0.3718","|||","دختر پری خانوم","Pari's daughter","fa",0.0979,2026-02-01,0,0,1,0,1,4,3,0,2026
1625043,0,"Action|Drama|Crime","","","","IR",0,96,FALSE,"Yousef Hatamikia","Amir Jadidi|Hoda Zeinolabedin|Mahdi Zaminpardaz|Afshin Hashemi|Reza Kianian","0.7821|0.297|0.2584|0.3404|0.3849","||||","اسکورت","Escort","fa",0.1071,2026-02-01,0,0,3,0,1,5,1,3,2026
1624457,0,"Drama","","","","",0,106,FALSE,"Mani Moghaddam","Reza Attaran|Merila Zarei|Hoda Zeinolabedin|Kazem Sayyahi|Ali Mosaffa","0.5264|2.9177|0.297|0.5427|0.7499","||||","خواب","Dream","fa",0.1536,2026-02-01,0,0,1,0,0,5,2,3,2026
1624434,0,"Drama|Crime","","","","IR",0,120,FALSE,"Kazem Daneshi","Bahram Afshari|Sara Bahrami|Hamed Behdad|Amir Jafari|Shabnam Moghadami|Mohammad Valizadegan|Sadaf Espahbodi","0.7849|0.4117|0.3615|0.3747|0.5028|0.2206|0.3296","||||||","زنده‌شور","Lively","fa",0.2503,2026-02-01,0,0,2,0,1,7,3,4,2026
1624429,0,"Romance|Comedy","","","","IR",0,100,FALSE,"Rasoul Sadrameli","Peyman Ghasemkhani|Sahar Dolatshahi|Mohammad Bahrani|Kazem Nourbakhsh|Amin Hayaei","0.4917|0.5304|0.27|0.199|0.458","||||","قایق‌سواری در تهران","قایق‌سواری در تهران","fa",0.7313,2026-02-01,7,1,2,0,1,5,1,3,2026
1624424,0,"War|Drama","","","","IR",0,100,FALSE,"Mohammad Hossein Mahdavian","ehsan mansouri|Elnaz Malek","0.0934|0.1022","|","نیم‌شب","Midnight","fa",0.149,2026-02-01,0,0,2,0,1,2,1,0,2026
1624358,0,"","","Hrvatska Radiotelevizija","HR","HR",0,45,FALSE,"Nils Neubert","Emir Slaković","0.0071","Himself","Emir - Posljednji dalmatinski težak","Emir - Posljednji dalmatinski težak","hr",0.0404,2026-02-01,0,0,0,1,1,1,0,0,2026
